	FCR	GDP	PS	S	mean	
山西	14.29	20402.35	3447.5	15.63	10171901	5
甘肃	8.2975	13749.35	2590.15	45.44	18549582.15	5
宁夏	7.5025	22018.85	612.85	6.64	23724817.3	5
辽宁	34.3225	33246.5	4277.4	14.59	27273836.9	5
吉林	38.7175	26366.65	2717.2	18.74	15205389.75	5
黑龙江	40.9525	22617.9	3809.75	47.3	2559024	4
浙江	55.4225	43355.95	5186.45	10.2	2783729.3	4
福建	63.1325	35168.35	3612.9	12.13	11137367.05	4
江西	56.89	18365.5	4380.75	16.7	3718321.35	4
湖南	43.015	21155.9	6574.7	21.18	6227108.4	4
广西	46.25	17450	4748.8	23.6	130980.05	4
海南	48.9475	21049.9	847	3.6	3700005.7	4
重庆	31.84333333	24588.65	2901.5	8.23	1642657.25	4
贵州	28.335	12933.85	3662.25	17.6	162302.4	4
云南	42.985	14734.55	4509.75	38.33	642651	4
陕西	34.9925	23109.3	3724.65	20.56	3616832	4
河北	20.3675	23337.2	7025.1	18.77	952531.55	3
江苏	9.5825	44987.6	7652.2	10.26	138264.1	3
安徽	25.1425	18033.25	6158.45	13.97	7063099.65	3
山东	14.8675	34136.15	9413.1	15.38	1939840.15	3
河南	17.5925	20435.85	9458.4	16.7	2008187.9	3
湖北	30.5725	24488.65	5845.15	18.59	7244849.45	3
广东	48.25	38056.9	9400	18	6601198.95	3
四川	30.825	18535.95	8289.5	48.14	6460902.55	3
北京	26.9375	63690.75	1733.7	1.68	1621655.05	2
天津	8.43	59192.75	1193.35	1.13	16618954.7	2
上海	6.745	67515.25	1901.65	0.63	18438500.9	2
青海	3.7575	20393.25	552.7	72.23	11899791.65	1
内蒙古	17.865	35379.75	2431.75	118.3	7208452.25	1
西藏	10.2825	16102.2	289.75	122.8	9000765.15	1
新疆	3.07	21752.95	2098.15	166	13031591.95	1
