	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
北京	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
天津	0	0	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0
河北	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	11	13	11	11	11
山西	11	11	11	9	10	10	11	11	11	11	11	11	11	11	11	11	11	11	11	11
内蒙古	12	12	12	14	13	13	14	14	14	14	14	14	12	14	14	13	9	12	9	12
辽宁	11	11	11	13	13	11	11	11	13	13	13	14	14	14	16	16	14	14	14	14
吉林	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	11	11	11	11
黑龙江	13	13	13	13	13	13	13	13	12	12	12	12	12	13	13	11	6	7	6	6
上海	0	0	0	12	0	0	0	10	0	0	0	10	9	0	0	0	0	0	0	0
江苏	2	2	2	13	13	13	13	13	13	13	13	13	13	13	13	13	13	12	13	11
浙江	0	0	0	0	0	0	1	6	3	6	6	6	5	11	11	11	4	3	1	1
安徽	7	7	7	8	9	8	8	9	9	11	11	10	12	9	11	15	5	8	9	7
福建	0	0	0	0	0	0	0	1	0	6	2	5	5	3	3	2	2	1	0	2
江西	5	5	5	5	5	6	8	8	8	8	8	8	8	8	15	8	9	10	9	11
山东	16	16	16	17	17	17	17	15	15	15	16	16	17	16	16	16	16	15	15	13
河南	1	1	1	1	1	1	2	18	18	18	18	17	18	18	18	18	18	17	18	18
湖北	0	0	0	0	0	17	17	17	17	17	17	17	17	0	0	4	4	4	4	4
湖南	0	0	0	0	0	0	0	0	3	3	4	3	4	8	13	7	9	8	8	14
广东	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
广西	10	10	10	10	11	11	10	11	0	0	12	13	10	10	12	12	12	11	12	13
海南	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
重庆	0	0	0	0	0	0	0	0	0	0	0	40	40	40	0	0	0	0	0	0
四川	10	10	10	10	9	13	14	13	10	5	6	9	11	8	8	9	5	6	7	5
贵州	2	2	2	2	2	6	5	6	6	6	6	0	0	0	0	0	3	0	1	1
云南	8	8	8	3	8	6	11	4	4	4	1	1	1	0	0	0	2	2	0	1
西藏	0	0	0	0	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0
陕西	11	11	11	10	10	10	10	10	10	10	10	10	10	10	10	10	12	12	12	12
甘肃	14	14	14	14	14	1	14	14	14	14	9	14	14	14	14	11	8	7	9	6
青海	7	7	7	7	7	7	7	8	7	7	8	8	8	8	8	8	8	8	8	8
宁夏	4	4	4	4	4	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5
新疆	8	8	8	9	9	9	10	9	9	9	9	9	9	9	9	9	10	8	18	19
