	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
北京	19118	21397	24122	26998	30840	34892	41099	45444	50407	58204	63029	70452	73856	81658	87475	94648	99995	106497	114690	128994
天津	14243	15405	17353	19141	21387	25544	30575	35783	41022	46122	55473	62574	72994	85213	93173	100105	105231	107960	115613	118944
河北	6501	6849	7592	8251	8960	10251	12487	14782	16752	19877	23239	24581	28668	33969	36584	38909	39984	40255	42866	45387
山西	5104	5230	5722	6226	7082	8641	10741	12495	14011	16945	20742	21522	26283	31357	33628	34984	35070	34919	35285	42060
内蒙古	5406	5861	6502	7216	8162	10039	12767	16331	20264	25393	32214	40282	47347	57974	63886	67836	71046	71101	74204	63764
辽宁	9415	10086	11177	12015	13000	14270	15835	18983	21788	25729	31259	35239	42355	50760	56649	61996	65201	65354	50292	53527
吉林	5983	6382	7351	7893	8714	9854	11537	13348	15720	19383	23514	26595	31599	38460	43415	47428	50160	51086	54073	54838
黑龙江	7375	7578	8294	8900	9541	10638	12449	14434	16228	18478	21727	22447	27076	32819	35711	37697	39226	39462	40362	41916
上海	25206	27071	30047	32333	35445	40130	55307	52060	57695	66367	73124	78989	76074	82560	85373	90993	97370	103796	113731	126634
江苏	10049	10695	11765	12882	14396	16830	20223	24560	28814	33928	39622	44744	52840	62290	68347	75354	81874	87995	95394	107150
浙江	11394	12214	13416	14713	16978	20444	24352	27703	31874	37411	42214	44641	51711	59249	63374	68805	73002	77644	83923	92057
安徽	4235	4495	4779	5313	5736	6375	7681	8670	10026	12045	14485	16408	20888	25659	28792	32001	34425	35997	39254	43401
福建	9603	10323	11194	11892	12938	14333	16469	18646	21385	25908	30123	33840	40025	47377	52763	58145	63472	67966	74288	82677
江西	4124	4402	4851	5221	5829	6624	8097	9440	10798	12633	14781	17335	21253	26150	28800	31930	34674	36724	40220	43424
山东	8128	8673	9555	10465	11645	13661	16925	20096	23794	27807	33083	35894	41106	47335	51768	56885	60879	64168	68049	72807
河南	4643	4832	5450	5959	6487	7376	9201	11346	13172	16012	19593	20597	24446	28661	31499	34211	37072	39123	42363	46674
湖北	5287	5452	6293	6867	7437	8378	9898	11431	13297	16206	19860	22677	27906	34197	38572	42826	47145	50654	55191	60199
湖南	4667	4933	5425	6120	6734	7589	9165	10426	11950	14492	17521	20428	24719	29880	33480	36943	40271	42754	46063	49558
广东	10819	11415	12736	13849	15361	17795	20870	24438	28284	33151	37589	41166	44736	50807	54095	58833	63469	67503	73290	80932
广西	4346	4444	4652	5058	5558	6169	7461	8788	10296	12555	14966	16045	20219	25326	27952	30741	33090	35190	38042	38102
海南	5912	6294	6798	7315	8041	8849	10067	10998	12403	14555	17175	19254	23831	28898	32377	35663	38924	40818	44396	48430
重庆	5016	5207	5616	6219	7052	8091	9624	10982	12316	14660	18025	22920	27596	34500	38914	43223	47850	52321	58199	63442
四川	4294	4540	4956	5376	5890	6623	7895	9060	10546	12893	15378	17339	21182	26133	29608	32617	35128	36775	39835	44651
贵州	2364	2545	2759	3000	3257	3701	4317	5052	5759	6915	8824	10309	13119	16413	19710	23151	26437	29847	33242	37956
云南	4446	4558	4770	5015	5366	5870	7012	7835	8970	10540	12587	13539	15752	19265	22195	25322	27264	28806	31358	34221
西藏	3666	4180	4572	5324	6117	6893	8103	9114	10430	12109	13861	15295	17027	20077	22936	26326	29252	31999	35496	39267
陕西	4070	4415	4968	5506	6145	7028	8587	10161	12138	14607	18246	21688	27133	33464	38564	43117	46929	47626	50528	57266
甘肃	3541	3778	4129	4386	4768	5429	6566	7477	8757	10346	12110	12872	16113	19595	21978	24539	26433	26165	27508	28497
青海	4426	4728	5138	5774	6478	7346	8693	10045	11724	14257	17389	19454	24115	29522	33181	36875	39671	41252	43750	44047
宁夏	4607	4900	5376	6039	6647	7734	9199	10239	11847	14649	17892	21777	26860	33043	36394	39613	41834	43805	47157	50765
新疆	6174	6443	7372	7945	8457	9828	11337	13108	15000	16999	19893	19942	25034	30087	33796	37553	40648	40036	40466	44941
