	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
北京	167450	241933	303863	361392	469127	552916	632028	441105	445695	619221	1071371	1160520	1200400	1434945	1727944	1805117	1923574	1422701	1465447	1603882
天津	19577	20062	33658	30576	35268	35946	40778	48346	50101	168658	213885	191138	215642	204392	205331	186163	232787	244159	307129	281686
河北	1196640	1645846	1680849	2537452	2768654	3849131	4116988	4534721	4829532	5161938	5623163	6150643	6937260	7459549	10586591	12305030	14127093	14745594	15235131	15770188
山西	520053	491638	506845	585549	622733	584862	662758	725850	785067	958869	1060774	1172872	1898999	2553886	3115222	3458702	4015973	4527466	4990855	5557830
内蒙古	543320	543390	558572	531164	636892	781105	919908	1126853	1582368	1932429	2082648	1795755	2022097	2178434	2448955	2801456	3836321	4177852	4660967	5003272
辽宁	924845	1128438	1142582	1303959	1362227	2011325	2206527	2616117	3034497	3951389	5430829	6987416	9384692	12383977	15475567	17375794	18339207	16645910	11712434	11479257
吉林	809349	973709	1107075	1154527	1210297	1288533	2130245	2360091	2553692	3045551	5389850	6431830	7630018	10262538	11509487	13509856	14509985	15500553	15658828	14987965
黑龙江	1128406	1189649	1236756	1313684	1432933	1923306	2159610	2355218	3537080	4418432	4992378	5803188	6933726	9167585	10938089	12813789	13811164	14385038	15010987	14667033
上海	54532	72834	97145	132612	143617	257840	286706	278594	271591	434880	749431	610464	3369645	3346594	3481118	3709755	3680579	3917852	4401414	3135898
江苏	1033915	1052941	1214162	1266667	2724559	4215968	5053884	6512047	7171727	8145093	9374102	11364664	15598797	22916203	30993642	36086033	38976633	40843282	42564193	45270582
浙江	2508236	3918980	4823118	5607787	6776882	7787460	8682993	9179816	10644354	11940412	12609970	13678175	17137667	27919858	31568884	33792859	35555849	37634580	41663309	45338829
安徽	910846	1038104	1150254	1011305	1094263	1544227	1808379	2293112	2833183	3468800	4215178	5135559	7154214	11718236	15997836	20595442	25108181	28318418	31923833	36118650
福建	2827178	2612753	2862079	3075788	3176902	4480098	5148755	9194809	10022649	11807520	13237632	14727221	16731501	25593977	30780284	36095326	39713055	42773410	46106717	50023989
江西	1137600	1238491	1282913	1532871	1804839	2195668	3071029	3837166	4832087	6103350	7602225	9184321	10529719	13177449	16281972	20250245	26545883	30630245	35048245	41709515
山东	2444256	2757934	2917352	3118911	3304830	4552288	5379821	6207959	7170417	8610318	9000811	9906004	18201442	29514848	45152189	55739153	60936364	63442512	67263543	68875394
河南	1130229	1237988	1517613	1760367	1880202	2091527	2550010	2882171	3493703	4300688	5280669	6464626	7590423	9228611	10887422	12634877	14908414	16581934	18082141	19665430
湖北	790220	938528	1213943	1422534	1562011	1922586	2681630	3501595	4082228	4402317	4951680	5963486	7069354	8964102	11095861	14315092	17369879	23241429	29991415	34535413
湖南	1484809	1830785	2331635	2509705	3349942	3618000	4097242	4539345	5512444	6301362	7087067	9211497	11503145	14456850	18834315	23800023	27991084	32254551	37363158	42554880
广东	2000122	2194617	2427303	2822644	3268241	3734280	3818537	4407009	13152217	13755312	14041757	22001160	28021579	33280989	46909215	55953897	65003382	71502750	76957847	80223880
广西	1400148	1700157	1747010	1784335	1852913	2043096	2470827	2934454	4128173	5266263	6700729	8817723	12765494	16723081	21941856	30201223	38499681	43098962	47769623	52262047
海南	54222	532083	682220	674516	829164	1017567	1036252	1687155	2041462	2077118	2197631	2359956	3468731	3783604	3979919	4252253	4420345	4691584	5366248	6028450
重庆	228235	250272	272216	274578	405546	697420	790527	1092656	1259360	1471230	1742922	2117564	2656536	3265221	4046717	4494411	5219083	6621930	8216196	10551966
四川	1110895	1084016	1192495	1374532	1465720	2122973	2872630	4003314	5073806	6908932	7609668	9533984	11567826	14440422	17456693	20302262	23357763	26643488	30603257	34022665
贵州	232656	210482	253056	273914	360221	497582	795207	984295	1109557	1935298	2281121	2475936	2955417	3406879	4010168	5034591	6100373	8102745	10000809	23346120
云南	1147761	1125177	1156737	1108283	1084700	1442182	1898219	2377919	2913403	3523616	4012051	4598691	5747968	6893883	8855547	11704317	13296395	15044874	17055075	19555370
西藏	15474	15700	18010	16047	14083	57779	65321	139988	85687	89351	89351	128798	161777	183850	200912	219427	239533	264669	292252	321592
陕西	341891	717988	705363	812038	927978	1002535	1223148	1263118	1323724	1675694	1737556	1977672	2612553	3258288	5416600	7125584	8401647	10143985	10970939	12361813
甘肃	383482	403656	392611	381314	428479	516052	529080	568753	681801	813570	950360	1178477	1620078	1926727	2345241	2824923	3393187	3857148	4632523	5025683
青海	15612	19339	20839	22903	36253	51358	27453	27074	20385	22716	23999	59043	74904	124369	348196	356242	429465	511686	484457	569755
宁夏	43618	52058	78502	84983	106238	161127	135503	240410	134624	272232	542396	610314	712258	951370	1085193	1162137	1359144	1544316	1705557	1871040
新疆	223638	312581	343194	1739031	882580	1217972	1185136	1799754	1299637	1310795	1628922	2526910	3591083	4368083	5800919	7066614	7981300	9485483	10534914	9038094
