	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
北京	8704	9103	12079	28870	41740	57784	100606	99857	173316	268428	13269	286613	310665	774033	860020	731382	2054335	799715	25521	1960296
天津	438	905	1174	1610	2854	2765	1616	3628	4594	6080	7087	8259	30323	80260	49288	112535	203034	165355	6692	115140
河北	12974	19411	19612	33757	97398	130895	181271	196985	185552	188313	195991	281817	276621	411553	446878	448108	580673	600666	290659	505424
山西	7347	23740	37748	45400	132218	164066	170983	168140	189289	273303	258218	350619	310819	376034	417841	776415	1036327	818023	260486	598466
内蒙古	50842	64204	110175	208423	274263	323507	347412	378856	406998	458147	489982	672270	808917	925331	1159659	1157814	1183961	1359207	1102495	346921
辽宁	3085	4365	4860	11661	31786	57479	32216	115563	64397	109435	194117	280366	228745	666443	759411	797243	615774	490751	180737	188311
吉林	28553	35498	74662	121587	124519	141282	106045	115268	129294	155044	301586	264834	267408	365876	414206	382492	467585	577659	664732	74918
黑龙江	63897	46748	153151	187723	253987	189699	171804	170123	191275	383807	335848	532587	549670	1226747	1229763	1103379	856090	1200731	1234269	79157
上海	1794	11605	9962	15959	25388	68056	60128	36080	83435	19013	19851	35507	13542	19397	42635	61229	139500	74721	1150	178925
江苏	1156	730	7313	2736	9693	5302	15053	14248	6561	7550	12399	33954	12438	22839	87742	52357	151169	175938	12512	440319
浙江	1312	2847	9763	19864	11113	8679	14525	9435	8699	9827	28307	33278	38434	384881	401387	463090	467723	463055	36636	543240
安徽	1592	3255	5923	4960	30190	59510	36768	47864	39461	65111	65150	90191	88182	101195	138449	209833	250578	221567	131718	298172
福建	1905	1591	4402	10779	6392	10197	11247	13047	11728	10820	24200	19000	27229	56529	263150	104211	119628	125638	119347	228030
江西	1722	2826	7827	8578	28413	37288	38709	28160	50087	69440	127243	146682	195643	277293	269660	301388	558552	354375	239194	483294
山东	5086	5208	7667	8572	8098	19875	19055	12136	11897	9809	13467	32577	25467	244035	343542	406089	337102	360461	84803	385778
河南	6983	1473	14802	20350	48008	76977	74482	95571	96051	90453	110540	202708	128263	232296	74038	65000	208029	170792	143194	299978
湖北	4513	6967	22397	28174	76631	73085	81278	91337	106847	123564	150359	198023	189543	229690	292634	394179	426409	478263	301444	272024
湖南	3509	2626	7829	10057	32962	32058	118054	113362	145734	159704	179798	240604	214103	353217	392645	702468	735681	855077	391391	636053
广东	3531	4088	6334	9405	12469	10689	20245	18979	33133	8769	3553	18733	31310	181677	300712	557245	391588	590053	96927	690860
广西	2958	5028	7808	9326	40437	65214	64845	101526	97927	113964	160839	333407	289069	492222	499059	444065	467410	527450	304933	530014
海南	2856	4149	8057	7895	4046	17716	12470	25058	8782	27299	20139	17095	26853	25146	107637	129859	122619	137737	33127	96722
重庆	12209	14756	26600	30546	106072	182282	172203	192244	197700	193162	294130	415213	379526	320175	392342	383841	413595	489723	264968	205407
四川	51728	129236	220457	259773	355293	441866	419137	455548	452949	507301	442713	771024	899615	808450	945631	943066	984888	1056883	827227	422984
贵州	11234	16219	39833	33022	119927	169365	182769	192124	194370	217985	256838	301047	304114	298853	315000	324000	402000	379013	512207	244647
云南	9747	36532	40920	68056	118454	155131	158510	170543	170603	220028	223385	263759	272852	363059	358996	408287	451034	658736	570022	496855
西藏	2396	900	3122	0	5000	6775	9318	0	3492	39543	39543	25250	77815	147340	135486	42058	135916	257150	282323	53490
陕西	6220	26278	57627	74103	115828	157950	119932	137573	126606	127506	273965	337258	276759	374732	400645	890385	719910	719044	471392	392518
甘肃	16708	17947	36063	58944	145632	198870	204945	239400	232485	251988	357733	383201	574728	377627	423219	442929	602137	803816	560359	319032
青海	2258	7689	34696	29105	51564	69480	58699	72615	59743	94153	92263	111105	147661	155920	193614	233728	248457	316859	233108	86681
宁夏	3446	4221	9058	24222	42344	33150	29971	33263	22398	27126	92853	95635	127772	136172	114771	122189	117051	117612	157619	67098
新疆	5006	14324	16507	30852	51031	54823	60986	81528	106466	126333	161475	199774	176874	280289	323014	388551	471140	534307	410870	274736
