	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
北京	4497	5225	4572	4245	4551	4019	2528	6300	6400	6397	7205	6890	6884	3746	3692	3701	3686	3548	3340	3231
天津	5412	5213	5430	3893	5346	5341	1246	6144	6301	6361	7950	8326	7947	5013	5342	5383	5501	5525	5203	4286
河北	7597	7418	7261	7090	7618	7923	3219	9936	10634	10870	12447	13096	13927	11570	12360	12649	14792	15295	14764	14790
山西	3925	3345	3275	4488	3474	3613	1444	4441	4668	4472	4415	4023	4240	3675	3905	3946	3906	3845	3548	3835
内蒙古	1489	1392	1373	2886	1440	1653	1788	2447	3075	3364	3993	4465	4611	4175	4244	4377	4413	4404	4289	2801
辽宁	6249	5816	6017	9462	6017	6842	2980	11510	14754	16556	21876	23364	23832	16914	17347	17561	15707	12304	8025	6626
吉林	2790	2793	2728	4145	2572	2284	1169	2774	3249	3984	5257	5936	6181	5158	5286	5353	5311	5682	6003	5971
黑龙江	3524	2957	2666	8261	2593	2567	1431	2887	2956	3172	4392	4408	4596	3377	3911	4098	4305	4162	3946	3731
上海	9320	9323	8574	9169	10057	11098	3050	14809	14404	15099	18792	17906	16684	9962	9772	9782	9469	8994	8351	8122
江苏	17957	18004	18309	16702	21476	23862	6557	32224	36319	41841	65495	60817	64136	43368	45859	46387	48708	48488	4790	45414
浙江	13475	13301	14575	8251	21896	25526	5781	40275	45686	51604	58816	59971	64364	34698	36496	36904	40841	41167	40128	39949
安徽	3887	3784	3680	6173	3918	4158	1935	5277	6523	8111	11392	14122	16277	12432	14514	15114	17762	19077	19838	18883
福建	6106	5549	6011	3746	7462	9208	1893	12396	13755	15178	17212	18154	19227	14116	15333	15806	16744	17240	17262	17348
江西	3937	3730	3549	2954	3076	3051	1713	4403	5333	6028	7367	7539	7908	6481	7217	7601	8996	9941	10962	10889
山东	11402	11391	11679	16013	13468	16177	6971	27540	31936	36145	42629	45518	44037	35813	37625	38654	40756	41485	39567	38147
河南	10450	9922	9930	5312	9671	9091	3099	10867	11895	13510	18700	18105	19548	18328	19237	19773	21748	22892	23679	22023
湖北	7399	6874	6282	13514	6183	6271	2265	6813	7546	8996	12067	14027	16106	10633	12441	13441	15957	16413	16296	15097
湖南	4554	4790	4808	4837	5438	5967	2073	8022	8999	10201	12391	13311	13844	12477	12785	13323	13723	13992	14386	15201
广东	17980	18879	19695	17763	22619	24494	5870	35157	37494	42260	52574	52188	53389	38305	37790	38094	41133	42113	42688	47203
广西	3365	3142	3155	3951	2911	2871	1237	3687	4051	4408	5427	5678	6583	5046	5239	5396	5447	5518	5464	5723
海南	640	579	596	1027	601	619	317	616	595	488	548	494	497	358	377	391	382	380	367	335
重庆	2000	1975	2040	2837	2060	2241	1537	2943	3208	3916	6119	6412	7130	4778	4985	5237	6158	6608	6782	6684
四川	4980	4538	4394	5837	4908	5448	2818	7959	8995	10709	13725	13267	13706	12085	12717	13163	1267	13528	13819	13904
贵州	2048	2119	2087	1725	2067	2129	865	2585	2594	2296	2676	2791	2963	2329	2752	3139	3895	4482	5123	5311
云南	2516	2133	2124	2223	2072	1995	1292	2362	2602	2698	3320	3489	3599	2773	3211	3382	3797	3876	4194	4189
西藏	342	329	362	265	344	325	162	197	204	100	88	90	97	56	64	70	97	104	108	116
陕西	2685	2587	2553	2458	2461	2493	1509	2997	3375	3372	4025	4480	4564	3684	4284	4489	5081	5413	5862	6271
甘肃	1641	2245	2851	2444	3204	2884	734	1733	1733	1841	1940	1987	2000	1371	1735	1830	2091	2148	2105	1905
青海	573	559	445	441	399	400	289	404	435	471	515	523	555	386	423	465	568	575	593	569
宁夏	520	496	409	891	388	418	376	685	761	745	901	969	975	764	865	935	1170	1245	1174	1223
新疆	1820	1625	1455	3012	1267	1254	1147	1445	1481	1575	1859	2018	2465	1738	1959	2102	2477	2707	2894	2955
