	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
北京	18.93	18.93	18.93	18.93	18.93	21.26	21.26	21.26	21.26	21.26	31.72	31.72	31.72	31.72	31.72	35.84	35.84	35.84	35.84	35.84
天津	7.47	7.47	7.47	7.47	7.47	8.14	8.14	8.14	8.14	8.14	8.24	8.24	8.24	8.24	8.24	9.87	9.87	9.87	9.87	9.87
河北	18.08	18.08	18.08	18.08	18.08	17.69	17.69	17.69	17.69	17.69	22.29	22.29	22.29	22.29	22.29	23.41	23.41	23.41	23.41	23.41
山西	11.72	11.72	11.72	11.72	11.72	13.29	13.29	13.29	13.29	13.29	14.12	14.12	14.12	14.12	14.12	18.03	18.03	18.03	18.03	18.03
内蒙古	12.73	12.73	12.73	12.73	12.73	17.7	17.7	17.7	17.7	17.7	20	20	20	20	20	21.03	21.03	21.03	21.03	21.03
辽宁	30.95	30.95	30.95	30.95	30.95	32.97	32.97	32.97	32.97	32.97	35.13	35.13	35.13	35.13	35.13	38.24	38.24	38.24	38.24	38.24
吉林	37.43	37.43	37.43	37.43	37.43	38.13	38.13	38.13	38.13	38.13	38.93	38.93	38.93	38.93	38.93	40.38	40.38	40.38	40.38	40.38
黑龙江	38.72	38.72	38.72	38.72	38.72	39.54	39.54	39.54	39.54	39.54	42.39	42.39	42.39	42.39	42.39	43.16	43.16	43.16	43.16	43.16
上海	3.66	3.66	3.66	3.66	3.66	3.17	3.17	3.17	3.17	3.17	9.41	9.41	9.41	9.41	9.41	10.74	10.74	10.74	10.74	10.74
江苏	4.51	4.51	4.51	4.51	4.51	7.54	7.54	7.54	7.54	7.54	10.48	10.48	10.48	10.48	10.48	15.8	15.8	15.8	15.8	15.8
浙江	50.8	50.8	50.8	50.8	50.8	54.41	54.41	54.41	54.41	54.41	57.41	57.41	57.41	57.41	57.41	59.07	59.07	59.07	59.07	59.07
安徽	22.95	22.95	22.95	22.95	22.95	24.03	24.03	24.03	24.03	24.03	26.06	26.06	26.06	26.06	26.06	27.53	27.53	27.53	27.53	27.53
福建	60.52	60.52	60.52	60.52	60.52	62.96	62.96	62.96	62.96	62.96	63.1	63.1	63.1	63.1	63.1	65.95	65.95	65.95	65.95	65.95
江西	53.37	53.37	53.37	53.37	53.37	55.86	55.86	55.86	55.86	55.86	58.32	58.32	58.32	58.32	58.32	60.01	60.01	60.01	60.01	60.01
山东	12.58	12.58	12.58	12.58	12.58	13.44	13.44	13.44	13.44	13.44	16.72	16.72	16.72	16.72	16.72	16.73	16.73	16.73	16.73	16.73
河南	12.52	12.52	12.52	12.52	12.52	16.19	16.19	16.19	16.19	16.19	20.16	20.16	20.16	20.16	20.16	21.5	21.5	21.5	21.5	21.5
湖北	25.98	25.98	25.98	25.98	25.98	26.77	26.77	26.77	26.77	26.77	31.14	31.14	31.14	31.14	31.14	38.4	38.4	38.4	38.4	38.4
湖南	38.9	38.9	38.9	38.9	38.9	40.63	40.63	40.63	40.63	40.63	44.76	44.76	44.76	44.76	44.76	47.77	47.77	47.77	47.77	47.77
广东	45.81	45.81	45.81	45.81	45.81	46.49	46.49	46.49	46.49	46.49	49.44	49.44	49.44	49.44	49.44	51.26	51.26	51.26	51.26	51.26
广西	34.37	34.37	34.37	34.37	34.37	41.41	41.41	41.41	41.41	41.41	52.71	52.71	52.71	52.71	52.71	56.51	56.51	56.51	56.51	56.51
海南	39.56	39.56	39.56	39.56	39.56	48.87	48.87	48.87	48.87	48.87	51.98	51.98	51.98	51.98	51.98	55.38	55.38	55.38	55.38	55.38
重庆	24.1	24.1	24.1	24.1	24.1	22.25	22.25	22.25	22.25	22.25	34.85	34.85	34.85	34.85	34.85	38.43	38.43	38.43	38.43	38.43
四川	23.5	23.5	23.5	23.5	23.5	30.27	30.27	30.27	30.27	30.27	34.31	34.31	34.31	34.31	34.31	35.22	35.22	35.22	35.22	35.22
贵州	20.81	20.81	20.81	20.81	20.81	23.83	23.83	23.83	23.83	23.83	31.61	31.61	31.61	31.61	31.61	37.09	37.09	37.09	37.09	37.09
云南	33.64	33.64	33.64	33.64	33.64	40.77	40.77	40.77	40.77	40.77	47.5	47.5	47.5	47.5	47.5	50.03	50.03	50.03	50.03	50.03
西藏	5.93	5.93	5.93	5.93	5.93	11.31	11.31	11.31	11.31	11.31	11.91	11.91	11.91	11.91	11.91	11.98	11.98	11.98	11.98	11.98
陕西	28.74	28.74	28.74	28.74	28.74	32.55	32.55	32.55	32.55	32.55	37.26	37.26	37.26	37.26	37.26	41.42	41.42	41.42	41.42	41.42
甘肃	4.83	4.83	4.83	4.83	4.83	6.66	6.66	6.66	6.66	6.66	10.42	10.42	10.42	10.42	10.42	11.28	11.28	11.28	11.28	11.28
青海	0.43	0.43	0.43	0.43	0.43	4.4	4.4	4.4	4.4	4.4	4.57	4.57	4.57	4.57	4.57	5.63	5.63	5.63	5.63	5.63
宁夏	2.2	2.2	2.2	2.2	2.2	6.08	6.08	6.08	6.08	6.08	9.84	9.84	9.84	9.84	9.84	11.89	11.89	11.89	11.89	11.89
新疆	1.08	1.08	1.08	1.08	1.08	2.94	2.94	2.94	2.94	2.94	4.02	4.02	4.02	4.02	4.02	4.24	4.24	4.24	4.24	4.24
