	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
北京	4	3	3	1	1	1	7	1	10	12	12	12	9	5	2	1	0	2	1	0
天津	1	1	1	1	1	1	2	3	3	3	3	3	3	0	0	0	0	0	0	1
河北	84	66	61	53	56	52	61	65	50	49	43	39	38	35	34	30	32	29	33	35
山西	112	6	6	6	6	14	16	18	18	18	18	15	17	17	17	17	17	13	21	10
内蒙古	52	40	44	42	39	44	44	40	37	37	35	35	44	44	50	56	50	46	43	43
辽宁	132	94	75	80	57	26	29	18	15	33	30	26	32	26	31	16	16	25	92	96
吉林	362	360	362	317	328	287	277	262	253	248	250	278	249	239	230	254	271	271	284	296
黑龙江	214	197	199	187	184	181	204	171	154	127	135	116	117	128	178	169	164	160	158	216
上海	0	0	2	0	1	0	0	1	9	4	4	3	0	0	0	0	0	0	0	0
江苏	13	15	15	13	21	20	25	53	35	30	57	61	0	0	41	57	103	0	226	218
浙江	127	122	100	78	60	41	34	33	33	17	32	32	18	25	23	17	16	13	14	12
安徽	148	153	147	113	122	74	70	68	59	52	52	45	50	42	76	36	48	37	40	101
福建	551	557	530	479	421	356	309	269	256	240	248	251	232	283	239	230	232	239	224	214
江西	530	542	495	377	440	377	388	427	393	439	334	320	323	328	338	322	279	122	123	125
山东	85	53	58	48	38	26	21	23	24	29	25	22	51	38	108	31	39	42	22	22
河南	77	59	59	46	33	20	23	22	19	20	16	15	19	18	18	25	50	26	26	29
湖北	447	370	281	345	155	192	151	143	111	114	139	103	103	86	63	98	98	98	98	98
湖南	306	294	297	263	259	230	187	163	149	120	163	140	136	129	87	97	86	85	77	99
广东	385	329	246	226	196	154	155	124	113	92	88	70	52	40	48	38	38	40	38	40
广西	206	200	298	178	225	230	228	208	181	163	155	131	134	125	125	162	222	191	189	235
海南	42	39	42	49	35	32	33	33	41	25	25	25	29	33	54	30	28	29	28	28
重庆	51	42	131	23	20	17	14	11	10	9	11	14	9	12	11	14	13	12	10	10
四川	287	267	249	237	170	175	232	228	209	227	199	200	194	190	194	133	132	152	184	173
贵州	204	161	163	140	116	104	114	109	100	111	108	103	97	79	79	79	79	148	103	195
云南	240	183	200	177	186	157	115	124	114	123	103	93	99	95	89	124	98	98	126	100
西藏	20	5	5	0	5	5	5	5	9	9	9	3	3	5	5	9	3	4	2	6
陕西	100	87	89	82	72	68	62	52	48	52	53	47	48	32	34	36	65	65	63	65
甘肃	27	30	29	28	21	17	16	16	17	18	15	16	12	12	8	7	6	9	5	10
青海	1	1	1	1	1	1	2	4	4	3	2	0	0	0	13	0	0	0	0	0
宁夏	8	4	3	2	2	1	1	1	1	1	1	3	4	2	3	3	4	3	8	5
新疆	74	71	66	63	65	92	42	41	64	169	63	61	60	40	51	51	53	54	35	160
