	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
北京	6401	5510	5294	5137	4968	4721	4854	5063	25562	29489	25586	26922	24890	13710	13165	11669	10705	9741	9763	8216
天津	1417	1155	1074	1021	1097	1090	1132	1190	1191	1191	1186	1186	1141	834	735	817	784	751	755	763
河北	26833	25456	24747	24029	23558	22508	22076	22138	22455	26480	29152	29127	28274	26165	30101	25461	24019	22577	22821	20725
山西	27002	26384	27040	26168	25156	24285	24033	24020	24142	24321	24534	24855	25177	24722	25383	24785	24296.5	23808	24124	22790
内蒙古	214896	204802	187535	173384	162729	153044	144291	143823	141280	141805	122957	113689	204373	107279	181650	103926	101144	98362	192765	89669
辽宁	38347	34677	33570	31204	26930	25925	25890	25439	26006	26829	26972	28278	29541	24158	25380	23502	22504	21506	28807	26690
吉林	264275	240060	223662	200749	180943	168669	166326	156323	133244	124197	117559	118049	161231	118689	151497	114049	118475	122901	160783	93074
黑龙江	596683	548619	470317	404563	393534	378802	370070	350640	335994	316597	300910	296117	437006	311435	428281	299077	283789.5	268502	371212	252449
上海	1373	1430	1503	1840	1249	829	776	992	963	1559	1240	2078	1898	1906	2081	2069	1717.5	1366	1375	1259
江苏	29423	24386	24834	24112	30486	21177	22147	22422	23906	20054	27078	24465	18627	13282	21523	18631	17732	16833	19138	14031
浙江	29884	27769	25605	22546	19845	15643	14321	13838	13746	13051	12879	12522	13686	12643	12677	11496	11191	10886	10528	9659
安徽	32095	40524	37835	29706	33213	29901	27903	27179	26583	25589	25027	24979	26679	24951	25656	22623	21790	20957	23139	21268
福建	83603	72646	60961	52260	44987	41242	36815	35325	32676	30164	29827	28591	27746	24900	28741	24708	24030.5	23353	23098	19869
江西	117956	108207	98737	89860	75377	66766	60065	60614	58267	65456	61874	62278	91673	64503	87980	60649	58479.5	56310	50758	35015
山东	37860	36323	34620	33735	33634	32661	32963	32687	31799	30926	28403	26844	26255	25536	26871	24068	23355.5	22643	20985	19757
河南	33335	31200	31607	30792	30220	29408	31047	30500	30631	30005	30202	29489	31771	29569	30527	30776	29837	28898	28697	28067
湖北	58054	58247	44191	48650	42463	37320	34730	34651	33978	33144	32950	32513	38084	28734	32988	29230	28500	27770	29418	26247
湖南	83719	80808	77126	74285	66276	57384	60058	56672	54931	49810	49403	47052	69565	51157	68417	50074	49532	48990	55068	43899
广东	60138	56357	53044	47453	44539	42589	38388	38718	37966	37641	36279	34002	39749	32260	33286	31271	30381	29491	29601	25526
广西	80936	75748	69723	65597	62297	56071	55088	54199	51866	49338	47184	47442	53328	44920	49984	44009	43025.5	42042	44946	38251
海南	9386	11550	9710	9249	8623	6730	6433	6324	5809	6900	7857	7857	7327	7288	8759	8282	8858.5	9435	9806	4865
重庆	13818	14852	15549	9912	9496	8724	8515	8741	8439	8109	8534	8817	8772	8582	8087	8150	7702	7254	7107	6513
四川	109152	103951	98650	108927	89252	81434	80091	67271	66620	63640	58721	56895	55070	54312	50306	47362	46038	44714	45681	40917
贵州	26600	29448	26632	25522	26583	49924	41758	34003	36179	36297	35534	33848	24304	20984	26289	25920	24308.5	22697	22901	14923
云南	76155	67547	64593	62731	62731	59118	54768	55217	52469	51573	48681	48870	44446	40982	44031	42593	40902	39211	39652	30474
西藏	3538	5747	5747	0	156	156	156	1456	2453	2453	2453	3892	7219	3383	7878	7493	4772	2051	3737	2704
陕西	44457	39467	37260	39507	40663	38793	37870	37180	36840	36430	35103	34792	36612	39130	39867	37819	37533	37247	37359	33835
甘肃	44092	37026	39552	42179	38717	36934	37392	37559	37929	37649	39588	39384	41218	40170	40357	40131	39990	39849	39430	36763
青海	4704	4788	6427	7087	7815	8762	9677	9980	10249	10186	9093	9735	9727	12458	10261	9615	9713.5	9812	20986	4086
宁夏	10302	10169	10525	9289	9657	10123	10378	10378	10378	10019	9805	9644	10040	9228	9454	9524	9156.5	8789	10278	8248
新疆	26397	24720	22827	20604	20193	19096	17768	20142	21259	22527	23978	24580	22586	24199	23776	23159	22360	21561	21099	18613
																				
																				
																				
