	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
北京	31590667	31590667	38396147	47571334	58468201	45923798	53932198	70011412	95358584	119793199	131110574	174829996	171406426	185612765	207490584	206688496	217523690	231922447	250065028	277210665
天津	4856268	4856268	4427109	6506319	7612074	7188352	12208701	27282178	20556582	23895483	33282161	39951995	56873474	79926846	101838195	121650512	131900916	140946108	154267751	167090742
河北	2531790	2531790	3026687	3810107	4738415	6756210	9046382	12130976	16270574	21862951	31990826	43850110	76176946	111971742	126912586	151217144	168135552	175785817	194758856	210044039
山西	1415072	1415072	1341244	1772578	2549292	3088073	4087603	5846537	7153578	9172104	13426153	18488451	24597010	31958472	45609585	57892914	69697982	79027115	88925779	96129720
内蒙古	625022	625022	831082	1253877	1396457	1814912	2807671	3969413	6786360	10869181	16691362	22674858	34095015	50219480	63559033	74421257	79388769	81471735	85802879	83967890
辽宁	6182166	6182166	7305917	11005572	13328507	16825007	21671653	26772808	36503869	53412776	75407081	91859648	144692113	184107428	227292321	258901273	260882757	231204544	216561483	216449974
吉林	1512485	1512485	1346466	2083933	3072143	3523764	4145707	4975366	7870260	11726323	15077229	17819924	28016403	40130225	52879945	59340018	63322686	67505799	69170262	73522235
黑龙江	1762464	1762464	2182131	2835011	3474918	3826743	5676636	6823515	8014573	9580358	11266041	15162888	23411233	40598254	51698029	57810218	64563657	60605240	59834332	62747604
上海	28576483	28576483	27547518	33876908	37722374	45737304	56902837	66153475	71170405	81240600	94828842	97211682	128184819	151686066	177036307	180887277	206178190	232125607	256449538	283329343
江苏	9112586	9112586	9568125	11333812	14642203	23623914	42006858	60375026	77515761	102746454	149819058	167581340	219248480	269998512	340923236	397907960	469676960	506134870	550120755	618440291
浙江	8722922	8722922	11305825	16258733	23377536	32475777	44161246	54580062	64203513	76119199	93724016	101148289	132963888	190490223	231848901	276835922	326280740	332818513	349500408	386846961
安徽	2346827	2346827	2999081	3482479	5344921	8579058	14485374	19301096	25051890	32135256	48074128	64543242	89562940	116954502	154552379	198409117	226434561	251053015	280414330	334636419
福建	11527046	11527046	11121596	11903268	12673908	15071076	19003766	21536289	30923160	41102760	53464818	68941131	86494620	118384147	141176607	173419871	200412364	220172285	235930084	264440708
江西	1126010	1126010	1178600	1846837	3700676	5030795	8564778	11734887	14033555	16202381	22330307	24717793	32979224	41680054	48725547	63078451	73075310	90965709	103607895	125077796
山东	6633866	6633866	7766279	9967940	12727921	19675044	26864955	35560071	45357106	56023521	84671163	94509748	137561950	182006324	234531638	284007462	320680408	351911275	381559187	419810442
河南	2505196	2505196	3059515	3964358	5279747	6947968	9225237	14498472	20849220	28557609	46702624	52635799	80131332	110644613	136659531	193264108	214852858	244508973	292672784	343809979
湖北	6141386	6141386	6772448	6876552	7264625	9767866	15083826	16920313	21710631	26560133	39748233	51246146	71851585	90419710	107777141	144613132	176105284	199862394	222210296	252094475
湖南	2451781	2451781	2876368	3835575	5449008	7902119	12696316	19612630	22849672	33646214	47442044	52618580	68298763	95293679	113725949	142098246	161817213	174743610	187975130	209582813
广东	37410715	37410715	44033005	49680954	58293924	62793536	71482434	79149822	91980413	116412886	147316494	168403799	217570646	268609847	311822244	382068080	440958675	502936079	576204457	684384022
广西	2039442	2039442	2245010	2585637	3770160	4823055	7471479	12541874	16014724	21741474	28380286	38289037	52532784	68849546	82930696	93004966	102846814	113800507	132687855	157970560
海南	537859	537859	657330	941231	915254	1258497	2041861	2848620	3886249	6695753	10274585	11139627	19681481	34706847	51104091	67521371	81696667	98340489	111282082	133152022
重庆	4985433	4985433	6119241	7322807	9807819	14710940	20888340	25998546	34160840	43385895	55307753	66813048	91844521	115184779	134241334	165391985	192913963	213449344	221295218	239103876
四川	3965641	3965641	4946289	7329394	10124140	12885989	14514018	19110475	27890125	42918804	60216130	70943142	97396571	116059771	133689166	156433073	186212218	215423104	239517565	254978642
贵州	950177	950177	1524148	2415019	3344347	4479788	4807601	6393120	8166098	10658100	16622710	20496468	29157401	37779283	61294024	90763364	116827045	128552896	140417227	144559657
云南	2549306	2549306	2843563	3133660	3139872	3848654	5547663	7769418	10736712	15782052	23347360	30247589	37955795	54433017	76938635	100633891	120544769	134811126	153106048	164790612
西藏	12400	12400	9658	19983	34280	70400	87617	146848	276457	330661	327976	361785	493027	532131	554410	465962	1432290	1797299	1953075	1497327
陕西	3719170	3719170	3364202	4092754	5003215	6586459	8147438	10304175	14128492	21178836	30660587	42852613	47054035	60292663	93900329	106758193	128622165	146317950	170242616	193000807
甘肃	723207	723207	958588	1218486	1485979	2066328	2955908	3397407	3771715	5281027	8229331	9619852	14835572	15917952	22766511	29814442	34902853	38975332	43420013	48506866
青海	286430	286430	447310	553721	688613	777365	882987	1288605	1656215	1714152	2117903	3174497	4347459	6054134	9690882	11308099	13345513	14843199	16960874	19680866
宁夏	182256	182256	231005	332591	484905	793135	1126049	1404052	1510294	2009175	2557819	4210836	8677076	13453681	20101776	26313853	33150543	36522391	39811997	42239106
新疆	459711	459711	1168312	1983395	1975593	2864890	3178726	2729904	3198935	3953978	5482966	7137862	10140946	16061464	24926122	36300864	46281538	50002746	51846551	57077354
