	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
北京	1246	1257	1382	1385	1423	1456	1493	1536	1581	1633	1695	1755	1962	2019	2069	2115	2152	2171	2173	2171
天津	905	910	1001	914	919	926	933	1043	1075	1115	1176	1228	1299	1355	1413	1472	1517	1547	1562	1557
河北	6569	6614	6744	6699	6735	6769	6809	6844	6898	6943	6989	7034	7194	7241	7288	7333	7384	7425	7470	7520
山西	3172	3204	3297	3272	3294	3314	3335	3352	3375	3393	3411	3427	3574	3593	3611	3630	3648	3664	3682	3702
内蒙古	2345	2362	2376	2378	2379	2380	2384	2386	2397	2405	2414	2422	2472	2482	2490	2498	2505	2511	2520	2529
辽宁	4090	4103	4238	4147	4155	4162	4173	4220	4271	4298	4315	4319	4375	4383	4389	4390	4391	4382	4378	4369
吉林	2603	2616	2728	2691	2699	2704	2709	2715	2723	2730	2734	2740	2747	2749	2750	2751	2752	2753	2733	2717
黑龙江	3773	3792	3689	3811	3813	3815	3817	3818	3823	3824	3825	3826	3833	3834	3834	3835	3833	3812	3799	3789
上海	1307	1313	1674	1327	1334	1342	1352	1778	1815	1858	1888	1921	2303	2347	2380	2415	2426	2415	2420	2418
江苏	7182	7213	7438	7355	7381	7406	7433	7468	7550	7625	7677	7725	7869	7899	7920	7939	7960	7976	7999	8029
浙江	6152	4475	4677	4697	4731	4763	4803	4894	4980	5060	5120	5180	5447	5463	5477	5498	5508	5539	5590	5675
安徽	6184	6205	5986	6325	6369	6410	6461	6114	6110	6118	6135	6131	5957	5968	5988	6030	6083	6144	6196	6255
福建	3299	3316	3471	3440	3466	3488	3511	3532	3558	3581	3604	3627	3693	3720	3748	3774	3806	3839	3874	3911
江西	4191	4231	4140	4149	4222	4254	4284	4307	4339	4368	4400	4432	4462	4488	4504	4522	4542	4566	4592	4622
山东	8838	8883	9079	9041	9082	9125	9180	9239	9309	9367	9417	9470	9588	9637	9685	9733	9789	9847	9947	10006
河南	9315	9387	9256	9555	9613	9667	9717	9371	9392	9360	9429	9487	9405	9388	9406	9413	9436	9480	9532	9559
湖北	5907	5938	6028	5975	5988	6002	6016	5707	5693	5699	5711	5720	5728	5758	5779	5799	5816	5852	5885	5902
湖南	6502	6532	6440	6596	6562	6663	6698	6320	6342	6355	6380	6406	6570	6596	6639	6691	6737	6783	6822	6860
广东	7143	7270	8642	7783	7859	7954	8304	9185	9304	9449	9544	9638	10441	10505	10594	10644	10724	10849	10999	11169
广西	4675	4713	4489	4788	4822	4857	4889	4655	4719	4768	4816	4856	4610	4645	4682	4719	4754	4796	4838	4885
海南	753	762	787	796	803	811	818	826	836	845	854	864	869	877	887	895	903	911	917	926
重庆	2871	2860	3090	2829	2815	2803	2793	2797	2808	2816	2839	2859	2885	2919	2945	2970	2991	3017	3048	3075
四川	8359	8408	8437	8475	8673	8700	8725	8208	8169	8127	8138	8185	8045	8050	8076	8107	8140	8204	8262	8302
贵州	3658	3710	3525	3799	3837	3870	3904	3725	3757	3762	3793	3798	3479	3469	3484	3502	3508	3530	3555	3580
云南	4144	4192	4288	4287	4333	4376	4415	4442	4483	4514	4543	4571	4602	4631	4659	4687	4714	4742	4771	4801
西藏	252	256	262	263	267	270	274	276	281	284	287	290	300	303	308	312	318	324	331	337
陕西	3596	3618	3605	3659	3674	3690	3705	3718	3735	3748	3762	3772	3735	3743	3753	3764	3775	3793	3813	3835
甘肃	2519	2543	2562	2575	2593	2603	2619	2592	2606	2617	2628	2635	2560	2564	2578	2582	2591	2600	2610	2626
青海	503	510	518	523	529	534	539	543	548	552	554	557	563	568	573	578	583	588	593	598
宁夏	537	543	562	563	572	580	588	595	604	610	618	625	633	639	647	654	662	668	675	682
新疆	1747	1775	1925	1876	1905	1934	1963	2008	2050	2095	2131	2159	2185	2209	2233	2264	2298	2360	2398	2448
