Type	Total	HP	Attack	Defense	Sp_Atk	Sp_Def	Speed
Water	530	84	86	88	111	101	60
Water	380	55	55	85	65	85	35
Water	485	100	90	130	45	65	55
Water	355	54	78	103	53	45	22
Water	495	74	108	133	83	65	32
Water	315	90	65	65	40	40	15
Water	490	95	75	110	100	80	30
Water	590	95	75	180	130	80	30
Water	520	60	75	85	100	85	115
Water	490	95	75	80	100	110	30
Water	335	40	40	35	50	100	70
Water	515	80	70	65	80	120	100
Water	430	65	95	75	55	55	85
Water	475	90	70	80	70	95	70
Water	525	50	95	180	85	45	70
Water	535	130	85	80	85	95	60
Water	210	55	45	45	25	25	15
Water	430	95	85	85	65	65	35
Water	405	70	85	70	60	70	50
Water	535	100	110	90	85	90	60
Water	635	100	150	110	95	110	70
Water	288	50	48	43	46	41	60
Water	468	110	78	73	76	71	60
Water	475	111	83	68	92	82	39
Water	384	75	65	55	65	55	69
Water	509	105	95	75	85	75	74
Water	220	40	30	30	40	50	30
Water	340	60	50	50	60	70	50
Water	480	80	70	70	90	100	70
Water	335	55	40	50	65	85	40
Water	480	100	60	70	85	105	60
Water	540	95	125	79	60	100	81
Water	465	65	40	70	80	140	70
Water	270	40	30	30	55	30	85
Water	430	60	50	100	85	70	65
Water	345	45	20	50	60	120	50
Water	305	62	44	50	44	50	55
Water	473	75	87	63	87	63	98
Water	510	90	95	95	70	90	70
Water	580	91	72	90	129	90	108
Water	580	91	72	90	129	90	108
Water	250	70	20	50	20	50	40
Water	420	100	50	80	60	80	50
Water	330	75	38	38	56	56	67
Water	460	125	58	58	76	76	67
Water	540	75	95	95	95	95	85
Water	640	95	155	109	70	130	81
Water	305	45	90	20	65	20	65
Water	460	70	120	40	95	40	95
Water	560	70	140	70	110	65	105
Water	468	63	120	85	90	55	55
Water	530	72	95	67	103	71	122
Water	314	44	48	65	50	64	43
Water	405	59	63	80	65	80	58
Water	530	79	83	100	85	105	78
Water	630	79	103	120	135	115	78
Water	320	50	52	48	65	50	55
Water	500	80	82	78	95	80	85
Water	300	40	50	40	40	40	90
Water	385	65	65	65	50	50	90
Water	325	65	45	55	45	70	45
Water	305	30	65	100	45	25	40
Water	325	30	105	90	25	25	50
Water	475	55	130	115	50	50	75
Water	295	30	40	70	70	25	60
Water	440	55	65	95	95	45	85
Water	320	45	67	60	35	50	63
Water	450	80	92	65	65	80	68
Water	340	30	45	55	70	55	85
Water	200	20	10	55	15	20	80
Water	525	130	65	60	110	95	65
Water	314	50	65	64	44	48	43
Water	405	65	80	80	59	63	58
Water	530	85	105	100	79	83	78
Water	500	90	75	75	90	100	70
Water	300	35	65	35	65	35	65
Water	480	75	105	75	105	75	45
Water	310	50	70	50	50	50	40
Water	400	130	70	35	70	35	60
Water	500	170	90	45	90	45	60
Water	308	43	80	65	50	35	35
Water	200	20	15	20	10	55	80
Water	540	95	60	79	100	125	81
Water	345	35	64	85	74	55	32
Water	485	55	104	105	94	75	52
Water	485	55	84	105	114	75	52
Water	330	43	30	55	40	65	97
Water	314	53	51	53	61	56	40
Water	405	64	66	68	81	76	50
Water	330	55	65	35	60	30	85
Water	495	85	105	55	85	50	115
Water	325	76	48	48	57	62	34
Water	330	49	49	56	49	61	66
Water	460	69	69	76	69	86	91
Water	480	80	80	80	80	80	80
Water	600	100	100	100	100	100	100
Water	308	55	55	45	63	45	45
Water	413	75	75	60	83	60	60
Water	528	95	100	85	108	70	70
Water	316	50	53	48	53	48	64
Water	498	75	98	63	98	63	101
Water	294	50	50	40	50	40	64
Water	460	70	92	65	80	55	98
Water	470	165	75	80	40	45	65
Water	314	41	56	40	62	44	71
Water	405	54	63	52	83	56	97
Water	330	50	53	62	58	63	44
Water	500	71	73	88	120	89	59
Water	355	35	40	100	90	55	35
Water	495	70	60	125	115	70	55
Water	355	30	80	90	55	45	55
Water	495	60	115	105	65	70	80
Water	269	40	30	32	50	52	65
Water	290	70	40	50	55	50	25
Water	410	90	60	70	75	70	45
Water	530	110	80	90	95	90	65
Water	410	79	85	60	55	60	71
Water	520	50	65	107	105	107	86
Water	306	42	52	67	39	56	50
Water	500	72	105	115	54	86	68
Water	320	50	60	60	60	60	30
Steel	330	50	70	100	40	40	30
Steel	430	60	90	140	50	50	40
Steel	530	70	110	180	60	60	50
Steel	300	40	55	80	35	60	30
Steel	420	60	75	100	55	80	50
Steel	600	80	135	130	95	90	70
Steel	700	80	145	150	105	110	110
Steel	300	57	24	86	24	86	23
Steel	500	67	89	116	79	116	33
Steel	510	75	85	200	55	65	30
Steel	610	75	125	230	55	95	30
Steel	325	45	80	100	35	37	28
Steel	448	59	110	150	45	49	35
Steel	520	60	150	50	150	50	60
Steel	520	60	50	150	50	150	60
Steel	465	65	80	140	40	70	70
Steel	380	50	85	85	55	55	50
Steel	480	50	105	125	55	95	50
Steel	470	57	80	91	80	87	75
Steel	630	70	140	230	60	80	50
Steel	300	40	55	70	45	60	30
Steel	440	60	80	95	70	85	50
Steel	520	60	100	115	70	85	90
Steel	325	25	35	70	95	55	45
Steel	465	50	60	95	120	70	70
Steel	465	75	90	140	60	60	40
Steel	500	70	130	100	55	80	65
Steel	600	70	150	140	65	100	75
Steel	530	84	86	88	111	101	60
Steel	350	30	42	118	42	88	30
Steel	495	60	52	168	47	138	30
Steel	424	60	69	95	69	95	36
Steel	525	70	110	70	115	70	90
Steel	625	70	145	88	140	70	112
Steel	535	70	70	115	130	90	60
Steel	525	60	55	145	75	150	40
